domain,basket_code,basket_name,basket_weight,cash_weight,n_contracts,avg_contract_weight,max_contract_weight,avg_days_to_expiry,as_of
CONFLICT,ADIT-S2,Europe War & NATO Conflict,0.1252,0.1622395559530109,13,0.06444311108053763,0.15079687992845806,184.69230769230768,2026-03-01
CONFLICT,ADIT-S3,Middle East Armed Conflict,0.2843,0.1592535558864363,15,0.05604976294090424,0.1573877343380591,164.26666666666668,2026-03-01
CONFLICT,ADIT-S4,US-China Conflict Escalation,0.2232,0.19926361224489797,9,0.0889707097505669,0.09608836653061224,182.55555555555554,2026-03-01
ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,0.16796096153846155,15,0.05546926923076924,0.252385175,177.73333333333332,2026-03-01
GENERAL,ADIT-X3,Major Economy Recession,0.1634,0.13233170634920635,18,0.04820379409171075,0.061373759263196014,223.55555555555554,2026-03-01
GENERAL,ADIT-X4,Pandemic & Health Crisis,0.2818,0.22099851655629138,10,0.07790014834437087,0.09348017801324505,250.0,2026-03-01
POLITICAL,ADIT-P1,China Governance,0.0956,0.22999999999999998,11,0.06999999999999998,0.08619999999999998,280.0,2026-03-01
POLITICAL,ADIT-P2,EM Governance,0.1511,0.22999999999999998,9,0.08555555555555555,0.0924,36.22222222222222,2026-03-01
POLITICAL,ADIT-P3,EU Breakup Risk,0.301,0.14096666666666668,13,0.06607948717948718,0.07623316447779863,222.30769230769232,2026-03-01
POLITICAL,ADIT-P4,US Governance,0.1973,0.22999999999999998,6,0.12833333333333333,0.12833333333333333,157.83333333333334,2026-03-01
